Row.Type,Institution,Program,GDS.Data-literacy,GDS.Data-representation-modeling,GDS.Databases ,GDS.Math,GDS.Compute,GDS.Data-modeling,GDS.Generative-Modeling,GDS.Predictive-Modeling,GDS.Communication,GDS.Science,,Site,Date,Notes
4-point scale code,Ohio State University - Main Campus,B.S. in Data Analytics,3,,4,4,4,,4,4,4,1,,https://data-analytics.osu.edu/,2019-04-29,
4-point scale code,Pennsylvania State University - Main Campus,"B.S. in Data Sciences, Applied Data Science option",4,,4,4,4,,4,4,4,3,,https://ist.psu.edu/students/undergrad/majors/ds/ads,2019-04-29,
4-point scale code,Pennsylvania State University - Main Campus,"B.S. in Data Sciences, Computational Science option",4,,4,4,4,,4,4,1,3,,https://assets.engr.psu.edu/EECS/docs/handbooks/datsc-2018.pdf,2019-04-29,
4-point scale code,Stanford University ,Data Science Minor,2,,1,4,4,,4,4,4,2,,https://statistics.stanford.edu/data-science-minor,2019-04-29,
4-point scale code,University of Arizona,Statistics and Data Science BA,4,,1,4,4,,4,4,4,2,,https://www.math.arizona.edu/academics/undergrads/requirements/SDS,2019-04-29,
4-point scale code,University of Arizona,Statistics and Data Science BS,,,,,,,,,,,,,,
4-point scale code,University of California - Berkeley,B.A. in Data Science,4,,2,4,4,,4,4,4,2,,https://data.berkeley.edu/degrees/data-science-ba,2019-04-30,
4-point scale code,University of California - Davis,B.S. in Statistics: Statistical Data Science,3,,4,4,4,,4,4,4,2,,https://statistics.ucdavis.edu/undergrad/bs-statistical-data-science-track,2019-04-30,
4-point scale code,University of Colorado - Boulder,B.A. in Statistics and Data Science,3,,1,4,4,,4,4,4,2,,https://www.colorado.edu/amath/academics/undergraduate-program/statistics-and-data-science-major-ba,2019-04-30,
4-point scale code,University of Illinois Urbana-Champaign,Certificate in Data Science ,2,,2,2,2,,2,2,2,2,,https://stat.illinois.edu/academics/undergraduate-program/degree-programs/certificate-data-science,2019-04-29,
4-point scale code,University of Iowa,B.S. in Data Science,3,,4,4,4,,4,4,4,2,,http://catalog.registrar.uiowa.edu/liberal-arts-sciences/data-science/data-science-bs/#requirementstext,2019-04-30,
4-point scale code,University of Maryland - College Park,B.S. in Computer Science with data science specialization,3,,4,4,4,,4,4,4,2,,https://undergrad.cs.umd.edu/degree-requirements-cs-major,2019-04-30,
4-point scale code,University of Washington - Seattle,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",2,,4,4,4,,4,4,4,2,,https://acms.washington.edu/content/data-sciences-and-statistics,2019-05-02,
4-point scale code,University of Washington - Seattle,"B.S. in Computer Science, Data Science Option",2,,4,4,3,,4,4,4,1,,https://www.cs.washington.edu/academics/ugrad/courses/data-science,2019-05-02,
4-point scale code,University of Washington - Seattle,B.S. in Human Centered Design & Engineering with Data Science option,2,,4,1,4,,4,4,3,2,,https://www.hcde.washington.edu/bs/ds,2019-05-06,
4-point scale code,University of Washington - Seattle,"B.S. in Informatics, Data Science Track",4,,4,1,4,,4,4,4,2,,https://ischool.uw.edu/programs/informatics/degree-options,2019-05-06,
4-point scale code,University of Washington - Seattle,B.S. in Statistics with Data Science option,2,,4,4,4,,2,2,3,1,,https://www.stat.washington.edu/academics/undergraduate/major/,2019-05-06,
4-point scale code,Washington State University,"B.S. Computer Science, Data Science Track",3,,2,4,4,,3,3,4,2,,https://research.libraries.wsu.edu/xmlui/handle/2376/12206,2019-05-02,From archived catalog; track no longer offered
,,,2.777777778,3.138888889,2.944444444,3.333333333,3.611111111,3.5,3.5,3.5,3.388888889,1.833333333,,,,
